keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2020,34,66.59609822116443,2020-08-17,0.0,1.0
bol u grlu,2020,35,68.74435945410521,2020-08-24,0.0,1.0
bol u grlu,2020,36,100.96827794821702,2020-08-31,0.0,1.0
bol u grlu,2020,37,85.93044931763151,2020-09-07,0.0,1.0
bol u grlu,2020,38,100.96827794821702,2020-09-14,0.0,1.0
bol u grlu,2020,39,62.299575755282845,2020-09-21,0.0,1.0
bol u grlu,2020,40,79.48566561880915,2020-09-28,0.0,1.0
bol u grlu,2020,41,90.22697178351308,2020-10-05,0.0,1.0
bol u grlu,2020,42,73.04088191998679,2020-10-12,0.0,1.0
bol u grlu,2020,43,98.82001671527624,2020-10-19,0.0,1.0
bol u grlu,2020,44,88.0787105505723,2020-10-26,0.0,2.0
bol u grlu,2020,45,92.37523301645388,2020-11-02,0.0,2.0
bol u grlu,2020,46,109.56132287998018,2020-11-09,0.0,2.0
bol u grlu,2020,47,118.15436781174331,2020-11-16,0.0,2.0
bol u grlu,2020,48,77.33740438586835,2020-11-23,0.0,1.0
bol u grlu,2020,49,68.74435945410521,2020-11-30,0.0,1.0
bol u grlu,2020,50,75.18914315292757,2020-12-07,0.0,1.0
bol u grlu,2020,51,85.93044931763151,2020-12-14,0.0,1.0
bol u grlu,2020,52,75.18914315292757,2020-12-21,0.0,1.0
bol u grlu,2020,53,60.94780233003173,2020-12-28,0.0,1.0
bol u grlu,2021,1,58.98174419035329,2021-01-04,0.0,1.0
bol u grlu,2021,2,57.01568605067485,2021-01-11,0.0,1.0
bol u grlu,2021,3,57.01568605067485,2021-01-18,0.0,1.0
bol u grlu,2021,4,84.54050000617305,2021-01-25,0.0,1.0
bol u grlu,2021,5,82.5744418664946,2021-02-01,0.0,1.0
bol u grlu,2021,6,82.5744418664946,2021-02-08,0.0,1.0
bol u grlu,2021,7,96.3368488442437,2021-02-15,0.0,1.0
